Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1514005,U25 Anthropology and Art Practice (Compost),Smart Max,Compostables,Fullness,80%,1/11/2023 6:55,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Not Ready,20%,1/11/2023 7:05,-
1514008,001 Berkeley Way (Offsite),Smart Max,Compostables,Not Ready,20%,1/12/2023 2:24,-
1515773,U07 Cal Book Store,Smart Max,Bottles/Cans,Fullness,80%,1/12/2023 6:25,-
1520906,Stadium Gate 3,Smart Max,Bottles/Cans,Not Ready,0%,1/12/2023 6:36,-
1515686,E05 V&A Cafe/Etcheverry,Smart Max,Compostables,Not Ready,0%,1/12/2023 6:39,-
1520923,E30 Soda Hall NW,Smart Max,Compostables,Not Ready,0%,1/12/2023 6:58,-
1514009,E24 Chiet Hall,Smart Max,Compostables,Not Ready,0%,1/12/2023 7:03,-
1514007,E21 Cafe Think,Smart Max,Compostables,Not Ready,0%,1/12/2023 7:04,-
1515714,"U24 Rice & Bones, Wurster",Smart Max,Compostables,Not Ready,40%,1/12/2023 7:32,-
1520919,E26  Bechtel West Side,Smart Max,Waste,Fullness,60%,1/12/2023 9:11,-
1515786,U15 Sather Gate,Smart Max,Compostables,Not Ready,20%,1/13/2023 5:48,-
1514021,001 Berkeley Way (Offsite),Smart Max,Bottles/Cans,Fullness,80%,1/13/2023 6:33,-
1514016,W05 Brown’s Cafe,Smart Max,Bottles/Cans,Fullness,80%,1/13/2023 6:38,-
1503638,W08 University Drive,Smart Max,Bottles/Cans,Fullness,60%,1/13/2023 6:45,-
2503761,W06 West Circle,Smart Max,Compostables,Not Ready,40%,1/13/2023 6:45,-
1515750,E02 North Entrance Memorial Glade,Smart Max,Compostables,Not Ready,20%,1/13/2023 6:48,-
1515739,U17 Dwinelle Plaza Entry,Smart Max,Bottles/Cans,Fullness,60%,1/13/2023 6:50,-
1514003,W11 Moffitt Library @ Press,Smart Max,Compostables,Not Ready,20%,1/13/2023 6:50,-
1503651,E14 Physics,Smart Max,Compostables,Not Ready,20%,1/13/2023 6:55,-
2502339,W18 Campanile Way West Entrance,Smart Max,Bottles/Cans,Fullness,60%,1/13/2023 7:02,-
2503773,U03 Grade Street,Smart Max,Bottles/Cans,Fullness,80%,1/13/2023 7:09,-
1515780,U09 MLK Ramp,Smart Max,Waste,Fullness,60%,1/13/2023 7:11,-
1515787,E01 California Hall,Smart Max,Compostables,Not Ready,20%,1/13/2023 7:13,-
1515722,U09 MLK Ramp,Smart Max,Bottles/Cans,Fullness,80%,1/13/2023 7:15,-
1515772,U06 Bear's Lair,Smart Max,Bottles/Cans,Fullness,80%,1/13/2023 7:17,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,80%,1/13/2023 7:20,-
1514001,U16 Durant Hall,Smart Max,Compostables,Fullness,60%,1/13/2023 7:23,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Not Ready,20%,1/13/2023 7:27,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,80%,1/13/2023 7:29,-
1515679,U04 Zellerbach,Smart Max,Waste,Fullness,60%,1/13/2023 7:32,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,80%,1/13/2023 7:43,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,1/13/2023 7:50,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,80%,1/13/2023 8:12,-
1515756,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Compostables,Not Ready,20%,1/13/2023 8:13,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,60%,1/13/2023 8:19,-
1515701,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Waste,Fullness,80%,1/13/2023 9:05,-
1515710,E29 Campanile East,Smart Max,Waste,Fullness,80%,1/13/2023 9:11,-
1514029,E21 Cafe Think,Smart Max,Waste,Not Ready,40%,1/13/2023 9:16,-
1514028,E24 Chiet Hall,Smart Max,Waste,Fullness,60%,1/13/2023 9:17,-
1516528,E31 South Hall Rd. Near Clock Tower,Smart Max,Bottles/Cans,Fullness,60%,1/13/2023 9:44,-
2503774,E18 Latimer Courtyard,Smart Max,Bottles/Cans,Fullness,60%,1/13/2023 9:48,-
1515729,E25 Cronk Gate,Smart Max,Bottles/Cans,Fullness,60%,1/13/2023 9:52,-
1515723,E13 Stanley Hall,Smart Max,Bottles/Cans,Fullness,80%,1/13/2023 9:56,-
1515776,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Bottles/Cans,Fullness,80%,1/13/2023 10:02,-
1516524,U30 Birge Path,Smart Max,Bottles/Cans,Fullness,60%,1/13/2023 10:09,-
1515725,U27 Anthony Hall,Smart Max,Single Stream,Fullness,60%,1/13/2023 10:12,-
1514008,001 Berkeley Way (Offsite),Smart Max,Compostables,Alert, Alert - Unknown Fullness,1/17/2023 5:12,-
1503616,W18 Campanile Way West Entrance,Smart Max,Compostables,Fullness,60%,1/17/2023 6:51,-
2503763,U03 Grade Street,Smart Max,Compostables,Fullness,60%,1/17/2023 6:57,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Not Ready,0%,1/17/2023 7:01,-
1515689,U06 Bear's Lair,Smart Max,Compostables,Fullness,60%,1/17/2023 7:05,-
1503633,W18 Campanile Way West Entrance,Smart Max,Waste,Fullness,60%,1/17/2023 7:16,-
1516550,U33 Spieker Plaza,Smart Max,Waste,Fullness,60%,1/17/2023 7:27,-
2503769,U03 Grade Street,Smart Max,Waste,Fullness,80%,1/17/2023 7:32,-
1515779,U13 Bancroft Way,Smart Max,Bottles/Cans,Fullness,80%,1/17/2023 7:34,-
1515677,U06 Bear's Lair,Smart Max,Waste,Fullness,80%,1/17/2023 7:36,-
1516555,U32 HFA / Hearst Gym - West Side,Smart Max,Waste,Fullness,60%,1/17/2023 7:41,-
1516551,U30 Birge Path,Smart Max,Waste,Fullness,60%,1/17/2023 7:45,-
1514023,U25 Anthropology and Art Practice (Landfill),Smart Max,Waste,Fullness,80%,1/17/2023 7:49,-
2503765,E18 Latimer Courtyard,Smart Max,Waste,Fullness,80%,1/17/2023 8:02,-
1516557,W15 Koshland,Smart Max,Waste,Fullness,60%,1/17/2023 9:11,-
1515703,E09- East Asian Library,Smart Max,Waste,Fullness,60%,1/17/2023 9:22,-
1520913,U23 Law Building west of Heyman Terrace,Smart Max,Waste,Fullness,80%,1/17/2023 9:54,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Not Ready,40%,1/17/2023 10:03,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,80%,1/17/2023 12:30,-
1515746,E23 Glade Path,Smart Max,Waste,Fullness,60%,1/17/2023 12:33,-
1515668,E25 Cronk Gate,Smart Max,Waste,Fullness,60%,1/17/2023 12:39,-
1516552,West Circle,Smart Max,Waste,Fullness,60%,1/17/2023 12:45,-
