Account: UC - Berkeley,,,,,,,
User: Sam,,,,,,,
Generated On: 02/24/2026,,,,,,,
For Time Period: January 1  2023 - January 1  2024,,,,,,,
Filters: ,,,,,,,
Streams: All,,,,,,,
Groups: All,,,,,,,
Ordered Route: All,,,,,,,
,,,,,,,
,,,,,,,
Serial,Description,Capacity,Stream Type,Reason,Fullness Level at Collection,Collection Time,Note
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,80%,8/31/2023 7:22,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,60%,8/31/2023 7:24,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,80%,8/31/2023 7:26,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,60%,8/31/2023 7:28,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,100%,8/31/2023 7:30,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Not Ready,40%,8/31/2023 7:35,-
1516556,U28 Wheeler,Smart Max,Waste,Not Ready,0%,8/31/2023 7:37,-
2503767,U26 A&E Sproul,Smart Max,Waste,Fullness,60%,8/31/2023 7:57,-
1516530,U33 Spieker Plaza,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 8:34,-
2503761,W06 West Circle,Smart Max,Compostables,Fullness,60%,8/31/2023 8:41,-
1503624,E22 May Morrison Hall,Smart Max,Waste,Fullness,80%,8/31/2023 8:46,-
1515767,U08 MLK Courtyard,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 8:52,-
1515787,E01 California Hall,Smart Max,Compostables,Not Ready,40%,8/31/2023 8:52,-
1515671,"U24 Rice & Bones, Wurster",Smart Max,Waste,Fullness,60%,8/31/2023 8:54,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,80%,8/31/2023 8:57,-
1515722,U09 MLK Ramp,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 8:59,-
1515685,U13 Bancroft Way,Smart Max,Compostables,Fullness,80%,8/31/2023 9:01,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,8/31/2023 9:03,-
1516551,U30 Birge Path,Smart Max,Waste,Not Ready,20%,8/31/2023 9:04,-
1515769,U12 Upper MLK Union,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:06,-
1515779,U13 Bancroft Way,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:08,-
1515724,U11 Golden Bear Cafe Entry,Smart Max,Bottles/Cans,Fullness,100%,8/31/2023 9:09,-
1515668,E25 Cronk Gate,Smart Max,Waste,Fullness,60%,8/31/2023 9:11,-
1515759,U09 MLK Ramp,Smart Max,Compostables,Fullness,60%,8/31/2023 9:11,-
1515778,U15 Sather Gate,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:14,-
1503621,E19 South Path Drive,Smart Max,Waste,Fullness,80%,8/31/2023 9:15,-
1520917,E30 Tan Hall North Side,Smart Max,Waste,Fullness,80%,8/31/2023 9:17,-
2503765,E18 Latimer Courtyard,Smart Max,Waste,Fullness,80%,8/31/2023 9:22,-
2503770,U26 A&E Sproul,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:24,-
1515739,U17 Dwinelle Plaza Entry,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:28,-
1515741,E12 Evans Hall Bus Stop,Smart Max,Waste,Not Ready,20%,8/31/2023 9:31,-
1515725,U27 Anthony Hall,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:32,-
1514000,Chiet Hall 2,Smart Max,Compostables,Age,40%,8/31/2023 9:33,-
1515746,E23 Glade Path,Smart Max,Waste,Alert, Alert - Unknown Fullness,8/31/2023 9:34,-
1516534,U32 HFA / Hearst Gym - West Side,Smart Max,Bottles/Cans,Age,0%,8/31/2023 9:34,-
2503771,U21 Social Sciences Building,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:37,-
1515695,E15 Bancroft Library,Smart Max,Waste,Not Ready,40%,8/31/2023 9:37,-
1503639,E22 May Morrison Hall,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:40,-
1515710,E29 Campanile East,Smart Max,Waste,Fullness,80%,8/31/2023 9:41,-
1515752,E29 Campanile East,Smart Max,Compostables,Fullness,60%,8/31/2023 9:43,-
1503636,E28 Library/Campanile Way,Smart Max,Compostables,Fullness,60%,8/31/2023 9:45,-
1503628,E28 Library/Campanile Way,Smart Max,Waste,Not Ready,40%,8/31/2023 9:46,-
1515818,U04 Zellerbach,Smart Max,Compostables,Fullness,80%,8/31/2023 9:51,-
1515689,U06 Bear's Lair,Smart Max,Compostables,Fullness,60%,8/31/2023 9:52,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Fullness,80%,8/31/2023 9:55,-
1515772,U06 Bear's Lair,Smart Max,Bottles/Cans,Not Ready,0%,8/31/2023 9:57,-
1514019,U25 Anthropology and Art Practice (B/C),Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 9:59,-
1520909,U23 Law Building west of Heyman Terrace,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 10:01,-
1515740,U04 Zellerbach,Smart Max,Bottles/Cans,Not Ready,0%,8/31/2023 10:05,-
1515714,"U24 Rice & Bones, Wurster",Smart Max,Compostables,Fullness,60%,8/31/2023 10:15,-
1503616,W18 Campanile Way West Entrance,Smart Max,Compostables,Fullness,60%,8/31/2023 10:18,-
1516545,U32 HFA / Hearst Gym - West Side,Smart Max,Compostables,Not Ready,0%,8/31/2023 10:21,-
2503764,U21 Social Sciences Building,Smart Max,Compostables,Fullness,40%,8/31/2023 10:23,-
1520928,U23 Law Building west of Heyman Terrace,Smart Max,Compostables,Fullness,60%,8/31/2023 10:36,-
1515684,E13 Stanley Hall,Smart Max,Compostables,Fullness,60%,8/31/2023 10:40,-
1515683,E23 Glade Path,Smart Max,Compostables,Fullness,60%,8/31/2023 10:44,-
1514001,U16 Durant Hall,Smart Max,Compostables,Fullness,80%,8/31/2023 10:52,-
1515757,W12 VLSB/Campanile Way,Smart Max,Compostables,Fullness,60%,8/31/2023 10:56,-
1503646,E17 Tan/Campbell,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 10:57,-
1520905,E30 Tan Hall North Side,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 10:59,-
1516544,U33 Spieker Plaza,Smart Max,Compostables,Fullness,60%,8/31/2023 11:01,-
1515723,E13 Stanley Hall,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:02,-
1515771,E12 Evans Hall Bus Stop,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:04,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Fullness,60%,8/31/2023 11:08,-
1516549,W17 Mulford Hall,Smart Max,Compostables,Fullness,60%,8/31/2023 11:19,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,60%,8/31/2023 11:23,-
1515743,E02 North Entrance Memorial Glade,Smart Max,Waste,Fullness,100%,8/31/2023 11:26,-
1516528,E31 South Hall Rd. Near Clock Tower,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:27,-
1515760,E23 Glade Path,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:32,-
1514013,W11 Moffitt Library @ Press,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:35,-
1515763,E01 California Hall,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:37,-
1515703,E09- East Asian Library,Smart Max,Waste,Fullness,60%,8/31/2023 11:38,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Fullness,80%,8/31/2023 11:45,-
1520919,E26  Bechtel West Side,Smart Max,Waste,Fullness,80%,8/31/2023 11:46,-
1514014,U16 Durant Hall,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:46,-
1515700,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Waste,Fullness,80%,8/31/2023 11:47,-
1515701,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Waste,Fullness,60%,8/31/2023 11:49,-
2502339,W18 Campanile Way West Entrance,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 11:50,-
1515704,E05 V&A Cafe/Etcheverry,Smart Max,Waste,Fullness,80%,8/31/2023 12:09,-
1514008,001 Berkeley Way (Offsite),Smart Max,Compostables,Fullness,60%,8/31/2023 12:52,-
1515686,E05 V&A Cafe/Etcheverry,Smart Max,Compostables,Fullness,60%,8/31/2023 13:08,-
1520912,E30 Tan Hall North Side,Smart Max,Compostables,Fullness,60%,8/31/2023 13:19,-
1503625,E14 Physics,Smart Max,Waste,Fullness,60%,8/31/2023 13:25,-
2503762,E18 Latimer Courtyard,Smart Max,Compostables,Fullness,60%,8/31/2023 13:25,-
1503623,E17 Tan/Campbell,Smart Max,Waste,Fullness,60%,8/31/2023 13:28,-
1515756,E06 Sutardja Dali Hall/Yali's 1,Smart Max,Compostables,Fullness,60%,8/31/2023 13:32,-
1515736,W12 VLSB/Campanile Way,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 13:38,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,8/31/2023 13:39,-
1515784,U19 Wheeler Walkway,Smart Max,Compostables,Fullness,100%,8/31/2023 13:42,-
1515775,U18 Dwinelle Walkway,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 13:43,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,60%,8/31/2023 13:47,-
1514030,U16 Durant Hall,Smart Max,Waste,Fullness,60%,8/31/2023 13:49,-
1515766,E07 Sutardja Dai Hall/Yali's 2,Smart Max,Bottles/Cans,Age,0%,8/31/2023 13:52,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,80%,8/31/2023 13:54,-
1515732,E04 North Gate Entrance,Smart Max,Bottles/Cans,Not Ready,0%,8/31/2023 13:55,-
1516548,W17 Mulford Hall,Smart Max,Waste,Fullness,80%,8/31/2023 14:02,-
1520910,E30 Soda Hall NW,Smart Max,Bottles/Cans,Age,0%,8/31/2023 14:05,-
1515669,W03 Li Ka Shing Hall,Smart Max,Waste,Fullness,80%,8/31/2023 14:11,-
1503640,W04 Morgan Hall,Smart Max,Bottles/Cans,Age,0%,8/31/2023 14:12,-
1516531,W17 Mulford Hall,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 14:50,-
1515737,W03 Li Ka Shing Hall,Smart Max,Bottles/Cans,Age,0%,8/31/2023 14:53,-
1516533,W15 Koshland,Smart Max,Bottles/Cans,Age,0%,8/31/2023 14:55,-
1516552,West Circle,Smart Max,Waste,Fullness,60%,8/31/2023 14:58,-
1503638,W08 University Drive,Smart Max,Bottles/Cans,Fullness,80%,8/31/2023 15:00,-
1515721,U02 Spieker Plaza Center,Smart Max,Bottles/Cans,Age,0%,8/31/2023 15:04,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,80%,8/31/2023 15:59,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Not Ready,20%,8/31/2023 16:01,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,8/31/2023 16:03,-
1515718,U18 Dwinelle Walkway,Smart Max,Compostables,Fullness,60%,8/31/2023 16:09,-
1503616,W18 Campanile Way West Entrance,Smart Max,Compostables,Fullness,60%,9/1/2023 8:34,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,60%,9/1/2023 8:37,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,9/1/2023 8:43,-
1515790,U12 Upper MLK Union,Smart Max,Compostables,Fullness,80%,9/1/2023 8:47,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,60%,9/1/2023 8:58,-
2503769,U03 Grade Street,Smart Max,Waste,Fullness,60%,9/1/2023 9:04,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,80%,9/1/2023 9:07,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,80%,9/1/2023 9:09,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,9/1/2023 9:11,-
1516539,W15 Koshland,Smart Max,Compostables,Fullness,60%,9/1/2023 9:14,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,9/1/2023 9:16,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Fullness,80%,9/1/2023 9:20,-
1515675,U27 Anthony Hall,Smart Max,Waste,Fullness,60%,9/1/2023 9:21,-
1514023,U25 Anthropology and Art Practice (Landfill),Smart Max,Waste,Fullness,80%,9/1/2023 9:27,-
1503614,W08 University Drive,Smart Max,Compostables,Fullness,60%,9/1/2023 9:28,-
1520913,U23 Law Building west of Heyman Terrace,Smart Max,Waste,Fullness,100%,9/1/2023 9:30,-
1515715,E04 North Gate Entrance,Smart Max,Compostables,Fullness,60%,9/1/2023 9:32,-
1520916,E30 Soda Hall NW,Smart Max,Waste,Fullness,60%,9/1/2023 9:55,-
1515699,E01 California Hall,Smart Max,Waste,Fullness,80%,9/1/2023 10:08,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Fullness,60%,9/1/2023 10:12,-
1514028,E24 Chiet Hall,Smart Max,Waste,Fullness,60%,9/1/2023 10:17,-
1514029,E21 Cafe Think,Smart Max,Waste,Fullness,60%,9/1/2023 10:21,-
1503637,E22 May Morrison Hall,Smart Max,Compostables,Fullness,60%,9/1/2023 10:41,-
1514005,U25 Anthropology and Art Practice (Compost),Smart Max,Compostables,Fullness,60%,9/1/2023 10:50,-
1514007,E21 Cafe Think,Smart Max,Compostables,Fullness,60%,9/1/2023 10:55,-
1515687,U20 Sproul Hall UCPD,Smart Max,Compostables,Fullness,60%,9/1/2023 11:09,-
1515751,U14 Sproul Hall Steps,Smart Max,Compostables,Fullness,60%,9/1/2023 11:43,-
1514003,W11 Moffitt Library @ Press,Smart Max,Compostables,Fullness,80%,9/1/2023 12:01,-
1515750,E02 North Entrance Memorial Glade,Smart Max,Compostables,Fullness,60%,9/1/2023 12:02,-
1515746,E23 Glade Path,Smart Max,Waste,Alert, Alert - Unknown Fullness,9/1/2023 13:17,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,9/1/2023 16:25,-
1515759,U09 MLK Ramp,Smart Max,Compostables,Fullness,80%,9/2/2023 9:18,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,9/2/2023 9:30,-
1515685,U13 Bancroft Way,Smart Max,Compostables,Fullness,80%,9/2/2023 9:37,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,60%,9/2/2023 9:41,-
1516541,E31 South Hall Rd. Near Clock Tower,Smart Max,Compostables,Not Ready,40%,9/2/2023 9:45,-
1516537,U30 Birge Path,Smart Max,Compostables,Fullness,60%,9/2/2023 10:37,-
1514009,E24 Chiet Hall,Smart Max,Compostables,Fullness,60%,9/2/2023 10:47,-
1503651,E14 Physics,Smart Max,Compostables,Fullness,40%,9/2/2023 10:53,-
1514003,W11 Moffitt Library @ Press,Smart Max,Compostables,Not Ready,0%,9/2/2023 11:03,-
1516549,W17 Mulford Hall,Smart Max,Compostables,Fullness,80%,9/2/2023 11:17,-
1515719,W03 Li Ka Shing Hall,Smart Max,Compostables,Not Ready,40%,9/2/2023 11:37,-
1514010,W05 Brown’s Cafe,Smart Max,Compostables,Fullness,80%,9/2/2023 11:41,-
1514016,W05 Brown’s Cafe,Smart Max,Bottles/Cans,Fullness,80%,9/2/2023 11:43,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Fullness,100%,9/2/2023 12:01,-
1515769,U12 Upper MLK Union,Smart Max,Bottles/Cans,Fullness,80%,9/2/2023 12:02,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,9/2/2023 12:06,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,80%,9/2/2023 12:09,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,80%,9/2/2023 12:10,-
1515783,U05 Cesar Chavez,Smart Max,Waste,Fullness,60%,9/2/2023 12:17,-
1515780,U09 MLK Ramp,Smart Max,Waste,Fullness,60%,9/2/2023 12:27,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,80%,9/2/2023 12:28,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,60%,9/2/2023 12:32,-
1515677,U06 Bear's Lair,Smart Max,Waste,Fullness,60%,9/2/2023 13:59,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,80%,9/2/2023 14:03,-
1515678,U20 Sproul Hall UCPD,Smart Max,Waste,Fullness,80%,9/2/2023 14:06,-
1516555,U32 HFA / Hearst Gym - West Side,Smart Max,Waste,Fullness,60%,9/2/2023 14:12,-
2503766,U21 Social Sciences Building,Smart Max,Waste,Fullness,60%,9/2/2023 14:15,-
2503765,E18 Latimer Courtyard,Smart Max,Waste,Fullness,60%,9/2/2023 14:26,-
1515666,E16 Campanile,Smart Max,Waste,Fullness,80%,9/2/2023 14:30,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,80%,9/2/2023 14:33,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,60%,9/2/2023 14:34,-
1503632,W08 University Drive,Smart Max,Waste,Fullness,60%,9/2/2023 14:53,-
1515670,W01 Lower Crescent,Smart Max,Waste,Fullness,80%,9/2/2023 14:57,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,80%,9/2/2023 15:18,-
1515743,E02 North Entrance Memorial Glade,Smart Max,Waste,Fullness,80%,9/2/2023 15:20,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Fullness,80%,9/2/2023 15:23,-
1515704,E05 V&A Cafe/Etcheverry,Smart Max,Waste,Fullness,80%,9/2/2023 15:26,-
1516551,U30 Birge Path,Smart Max,Waste,Fullness,60%,9/2/2023 15:56,-
1514023,U25 Anthropology and Art Practice (Landfill),Smart Max,Waste,Fullness,60%,9/2/2023 15:59,-
1520907,Stadium Gate 4,Smart Max,Bottles/Cans,Not Ready,0%,9/3/2023 6:53,-
1520911,Stadium Gate 4,Smart Max,Waste,Not Ready,20%,9/3/2023 7:03,-
1520920,Stadium Gate 4,Smart Max,Compostables,Not Ready,0%,9/3/2023 7:03,-
1520906,Stadium Gate 3,Smart Max,Bottles/Cans,Not Ready,0%,9/3/2023 7:08,-
1520914,Stadium Gate 3,Smart Max,Waste,Not Ready,40%,9/3/2023 7:09,-
1520925,Stadium Gate 3,Smart Max,Compostables,Not Ready,20%,9/3/2023 7:10,-
1515670,W01 Lower Crescent,Smart Max,Waste,Not Ready,40%,9/4/2023 22:49,-
1520907,Stadium Gate 4,Smart Max,Bottles/Cans,Not Ready,0%,9/5/2023 7:31,-
1520906,Stadium Gate 3,Smart Max,Bottles/Cans,Not Ready,0%,9/5/2023 7:32,-
1515751,U14 Sproul Hall Steps,Smart Max,Compostables,Fullness,60%,9/5/2023 8:50,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,9/5/2023 8:54,-
1515749,U07 Cal Book Store,Smart Max,Compostables,Fullness,80%,9/5/2023 9:08,-
1516550,U33 Spieker Plaza,Smart Max,Waste,Fullness,80%,9/5/2023 9:37,-
1515681,U02 Spieker Plaza Center,Smart Max,Waste,Fullness,60%,9/5/2023 9:40,-
1515679,U04 Zellerbach,Smart Max,Waste,Fullness,80%,9/5/2023 9:51,-
1503633,W18 Campanile Way West Entrance,Smart Max,Waste,Fullness,80%,9/5/2023 10:24,-
1515745,W12 VLSB/Campanile Way,Smart Max,Waste,Fullness,80%,9/5/2023 10:28,-
1514030,U16 Durant Hall,Smart Max,Waste,Fullness,60%,9/5/2023 10:29,-
1516556,U28 Wheeler,Smart Max,Waste,Fullness,60%,9/5/2023 10:31,-
1515744,U13 Bancroft Way,Smart Max,Waste,Fullness,80%,9/5/2023 10:42,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Fullness,60%,9/5/2023 10:45,-
2503767,U26 A&E Sproul,Smart Max,Waste,Fullness,60%,9/5/2023 10:48,-
1515675,U27 Anthony Hall,Smart Max,Waste,Fullness,60%,9/5/2023 10:52,-
1515688,W01 Lower Crescent,Smart Max,Compostables,Fullness,60%,9/5/2023 10:55,-
1503624,E22 May Morrison Hall,Smart Max,Waste,Fullness,100%,9/5/2023 10:56,-
2503761,W06 West Circle,Smart Max,Compostables,Fullness,80%,9/5/2023 11:05,-
1515787,E01 California Hall,Smart Max,Compostables,Not Ready,0%,9/5/2023 11:11,-
1515716,E16 Campanile,Smart Max,Compostables,Fullness,60%,9/5/2023 11:14,-
1515671,"U24 Rice & Bones, Wurster",Smart Max,Waste,Fullness,60%,9/5/2023 11:16,-
1515718,U18 Dwinelle Walkway,Smart Max,Compostables,Fullness,60%,9/5/2023 11:26,-
1516538,U28 Wheeler,Smart Max,Compostables,Fullness,60%,9/5/2023 11:30,-
1503641,E19 South Path Drive,Smart Max,Compostables,Fullness,60%,9/5/2023 11:37,-
1515758,U17 Dwinelle Plaza Entry,Smart Max,Compostables,Fullness,60%,9/5/2023 12:59,-
1515791,U05 Cesar Chavez,Smart Max,Compostables,Fullness,80%,9/5/2023 13:05,-
1515692,U15 Sather Gate,Smart Max,Waste,Fullness,60%,9/5/2023 13:09,-
1515724,U11 Golden Bear Cafe Entry,Smart Max,Bottles/Cans,Fullness,100%,9/5/2023 13:10,-
1515710,E29 Campanile East,Smart Max,Waste,Fullness,100%,9/5/2023 13:13,-
1516547,E31 South Hall Rd. Near Clock Tower,Smart Max,Waste,Fullness,80%,9/5/2023 13:16,-
1515786,U15 Sather Gate,Smart Max,Compostables,Fullness,60%,9/5/2023 13:17,-
1503621,E19 South Path Drive,Smart Max,Waste,Fullness,60%,9/5/2023 13:21,-
1515685,U13 Bancroft Way,Smart Max,Compostables,Fullness,80%,9/5/2023 13:23,-
1516553,E27 Coffee Lab,Smart Max,Waste,Fullness,60%,9/5/2023 13:24,-
1515668,E25 Cronk Gate,Smart Max,Waste,Fullness,60%,9/5/2023 13:29,-
1515753,U08 MLK Courtyard,Smart Max,Compostables,Fullness,80%,9/5/2023 13:35,-
1514028,E24 Chiet Hall,Smart Max,Waste,Fullness,80%,9/5/2023 13:36,-
1515784,U19 Wheeler Walkway,Smart Max,Compostables,Fullness,80%,9/5/2023 13:39,-
1503625,E14 Physics,Smart Max,Waste,Fullness,60%,9/5/2023 13:41,-
2503762,E18 Latimer Courtyard,Smart Max,Compostables,Fullness,60%,9/5/2023 13:44,-
1515697,E13 Stanley Hall,Smart Max,Waste,Fullness,60%,9/5/2023 13:45,-
1515746,E23 Glade Path,Smart Max,Waste,Alert, Alert - Unknown Fullness,9/5/2023 13:49,-
1514026,W11 Moffitt Library @ Press,Smart Max,Waste,Fullness,80%,9/5/2023 13:50,-
1515743,E02 North Entrance Memorial Glade,Smart Max,Waste,Fullness,80%,9/5/2023 14:00,-
1520919,E26  Bechtel West Side,Smart Max,Waste,Fullness,80%,9/5/2023 14:21,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Fullness,80%,9/5/2023 14:24,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Fullness,60%,9/5/2023 14:49,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,9/5/2023 14:56,-
1515699,E01 California Hall,Smart Max,Waste,Fullness,60%,9/5/2023 15:01,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,9/5/2023 15:55,-
1514021,001 Berkeley Way (Offsite),Smart Max,Bottles/Cans,Fullness,80%,9/5/2023 19:43,-
1515681,U02 Spieker Plaza Center,Smart Max,Waste,Not Ready,0%,9/6/2023 6:29,-
1516550,U33 Spieker Plaza,Smart Max,Waste,Not Ready,0%,9/6/2023 6:30,-
1515780,U09 MLK Ramp,Smart Max,Waste,Not Ready,0%,9/6/2023 6:33,-
1515696,U08 MLK Courtyard,Smart Max,Waste,Fullness,80%,9/6/2023 6:35,-
1515679,U04 Zellerbach,Smart Max,Waste,Not Ready,40%,9/6/2023 6:37,-
1515711,U07 Cal Book Store,Smart Max,Waste,Fullness,80%,9/6/2023 6:42,-
1515677,U06 Bear's Lair,Smart Max,Waste,Fullness,80%,9/6/2023 6:43,-
1515744,U13 Bancroft Way,Smart Max,Waste,Not Ready,40%,9/6/2023 6:44,-
1515693,U12 Upper MLK Union,Smart Max,Waste,Fullness,80%,9/6/2023 6:47,-
1515672,U14 Sproul Hall Steps,Smart Max,Waste,Not Ready,40%,9/6/2023 6:49,-
1515692,U15 Sather Gate,Smart Max,Waste,Not Ready,20%,9/6/2023 6:51,-
1515783,U05 Cesar Chavez,Smart Max,Waste,Fullness,60%,9/6/2023 6:55,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,9/6/2023 6:59,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Fullness,80%,9/6/2023 7:21,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,80%,9/6/2023 7:23,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Not Ready,20%,9/6/2023 7:24,-
1520913,U23 Law Building west of Heyman Terrace,Smart Max,Waste,Fullness,60%,9/6/2023 7:29,-
1514023,U25 Anthropology and Art Practice (Landfill),Smart Max,Waste,Fullness,60%,9/6/2023 7:35,-
1516551,U30 Birge Path,Smart Max,Waste,Fullness,60%,9/6/2023 7:38,-
1503624,E22 May Morrison Hall,Smart Max,Waste,Not Ready,0%,9/6/2023 7:40,-
1514028,E24 Chiet Hall,Smart Max,Waste,Not Ready,0%,9/6/2023 7:44,-
1514029,E21 Cafe Think,Smart Max,Waste,Fullness,80%,9/6/2023 7:48,-
1514022,Chiet Hall 2,Smart Max,Waste,Fullness,60%,9/6/2023 8:02,-
1515666,E16 Campanile,Smart Max,Waste,Fullness,60%,9/6/2023 8:06,-
1503633,W18 Campanile Way West Entrance,Smart Max,Waste,Not Ready,0%,9/6/2023 8:53,-
1516552,West Circle,Smart Max,Waste,Fullness,80%,9/6/2023 9:19,-
1515678,U20 Sproul Hall UCPD,Smart Max,Waste,Fullness,60%,9/6/2023 9:22,-
1503632,W08 University Drive,Smart Max,Waste,Fullness,80%,9/6/2023 10:28,-
2503768,W06 West Circle,Smart Max,Waste,Fullness,80%,9/6/2023 10:32,-
1503626,W04 Morgan Hall,Smart Max,Waste,Age,20%,9/6/2023 10:35,-
1516548,W17 Mulford Hall,Smart Max,Waste,Fullness,60%,9/6/2023 10:37,-
1515669,W03 Li Ka Shing Hall,Smart Max,Waste,Not Ready,20%,9/6/2023 10:42,-
1516557,W15 Koshland,Smart Max,Waste,Fullness,60%,9/6/2023 10:44,-
1515670,W01 Lower Crescent,Smart Max,Waste,Fullness,80%,9/6/2023 11:01,-
1515694,U11 Golden Bear NE,Smart Max,Waste,Not Ready,80%,9/6/2023 15:45,-
1515817,U11 Golden Bear Cafe Entry,Smart Max,Compostables,Alert, Alert - Unknown Fullness,9/6/2023 15:48,-
1515724,U11 Golden Bear Cafe Entry,Smart Max,Bottles/Cans,Alert, Alert - Unknown Fullness,9/6/2023 15:49,-
1503625,E14 Physics,Smart Max,Waste,Fullness,60%,9/7/2023 7:20,-
1515673,E04 North Gate Entrance,Smart Max,Waste,Fullness,60%,9/7/2023 7:29,-
1515747,U17 Dwinelle Plaza Entry,Smart Max,Waste,Fullness,80%,9/7/2023 7:40,-
1515667,U18 Dwinelle Walkway,Smart Max,Waste,Not Ready,40%,9/7/2023 7:47,-
1515702,U19 Wheeler Walkway,Smart Max,Waste,Fullness,60%,9/7/2023 7:50,-
