Account: UC - Berkeley
User: Sam
Generated On: 02/11/2026
Filters: 
Streams: All
Groups: All
Components: All
Status: All


"Description","Serial","Streams","Model ID","Capacity","Status","Fullness Threshold","Age Threshold","Last Called","Lat","Lng","Modem","Door Lock Type"
"E16 Campanile","1515666","Waste","SM5","Smart Max","In Service","60%","7 days","11 hours ago","37.87225023614914","-122.25781973451376","LE910","Manual Lock"
"E17 Tan/Campbell","1503644","Compostables","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87296058224164","-122.25662581622599","LE910","Manual Lock"
"E17 Tan/Campbell","1503623","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.872945761379704","-122.2566244751215","ME910","Manual Lock"
"E17 Tan/Campbell","1503646","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87295423044405","-122.25662313401699","LE910","Manual Lock"
"E18 Latimer Courtyard","2503762","Compostables","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.872900240142314","-122.25597940385342","LE910","Manual Lock"
"E18 Latimer Courtyard","2503765","Waste","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87290129877605","-122.25597269833088","LE910","Manual Lock"
"E18 Latimer Courtyard","2503774","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.872900240142314","-122.25596331059933","LE910","Manual Lock"
"E19 South Path Drive","1503641","Compostables","SM5","Smart Max","In Service","60%","7 days","8 hours ago","37.87219254007783","-122.25642364472152","LE910","Manual Lock"
"E19 South Path Drive","1503621","Waste","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.872190422789956","-122.25643437355758","LE910","Manual Lock"
"E19 South Path Drive","1503634","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.872192540077855","-122.25642230361701","LE910","Manual Lock"
"E21 Cafe Think","1514007","Compostables","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87176566054278","-122.2539306926845","LE910","Manual Lock"
"E21 Cafe Think","1514020","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","7 hours ago","37.87176566054278","-122.2539306926845","LE910","Manual Lock"
"E21 Cafe Think","1514029","Waste","SM5","Smart Max","In Service","60%","7 days","an hour ago","37.87176566054278","-122.2539306926845","LE910","Manual Lock"
"E22 May Morrison Hall","1503639","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87095550426674","-122.25634921342134","LE910","Manual Lock"
"E22 May Morrison Hall","1503624","Waste","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.87094385898714","-122.25634653121233","LE910","Manual Lock"
"E22 May Morrison Hall","1503637","Compostables","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87094703497266","-122.25633848458529","LE910","Manual Lock"
"E23 Glade Path","1515760","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.87315166523017","-122.25871123373508","LE910","Manual Lock"
"E23 Glade Path","1515683","Compostables","SM5","Smart Max","In Service","60%","7 days","5 months ago","37.87306909203279","-122.25868441164494","ME910","Manual Lock"
"E23 Glade Path","1515746","Waste","SM5","Smart Max","In Service","60%","7 days","6 hours ago","37.87314743070948","-122.25870721042156","LE910","Manual Lock"
"E24 Chiet Hall","1514009","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87173778974558","-122.2539481985347","LE910","Manual Lock"
"E24 Chiet Hall","1514015","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","2 hours ago","37.87173778974558","-122.2539481985347","LE910","Manual Lock"
"E24 Chiet Hall","1514028","Waste","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87173778974558","-122.2539481985347","LE910","Manual Lock"
"E25 Cronk Gate","1515729","Bottles/Cans","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.87171932472378","-122.25300919264555","LE910","Manual Lock"
"E25 Cronk Gate","1515668","Waste","SM5","Smart Max","In Service","60%","7 days","3 hours ago","37.871718001410365","-122.25300919264555","LE910","Manual Lock"
"E25 Cronk Gate","1515691","Compostables","SM5","Smart Max","In Service","60%","7 days","9 hours ago","37.871714031469956","-122.25300919264555","LE910","Manual Lock"
"E26  Bechtel West Side","1520908","Bottles/Cans","SM5","Smart Max","In Storage","60%","7 days","2 years ago","37.8741858","-122.258188","LE910","Manual Lock"
