Serial,stream,day,inventory_gal_start,inventory_pct_start,pickup_flag,pickup_gal,inventory_gal_after_service,overflow_flag,threshold_violation_gal
1516530,Bottles/Cans,3,33.3,22.2,0,0.0,33.3,0,0.0
1516530,Bottles/Cans,4,44.41,29.6,0,0.0,44.41,0,0.0
1516530,Bottles/Cans,5,55.51,37.0,0,0.0,55.51,0,0.0
1516530,Bottles/Cans,6,66.61,44.41,0,0.0,66.61,0,0.0
2503767,Waste,0,58.5,39.0,1,58.5,0.0,0,0.0
2503767,Waste,1,8.36,5.57,0,0.0,8.36,0,0.0
2503767,Waste,2,16.72,11.14,0,0.0,16.72,0,0.0
2503767,Waste,3,25.07,16.72,0,0.0,25.07,0,0.0
2503767,Waste,4,33.43,22.29,0,0.0,33.43,0,0.0
2503767,Waste,5,41.79,27.86,0,0.0,41.79,0,0.0
2503767,Waste,6,50.15,33.43,0,0.0,50.15,0,0.0
1514026,Waste,0,187.5,125.0,1,187.5,0.0,1,97.5
1514026,Waste,1,42.31,28.21,0,0.0,42.31,0,0.0
1514026,Waste,2,84.62,56.42,1,84.62,0.0,0,0.0
1514026,Waste,3,42.31,28.21,0,0.0,42.31,0,0.0
1514026,Waste,4,84.62,56.42,1,84.62,0.0,0,0.0
1514026,Waste,5,42.31,28.21,0,0.0,42.31,0,0.0
1514026,Waste,6,84.62,56.42,0,0.0,84.62,0,0.0
1514027,Waste,0,104.77,69.85,1,104.77,0.0,0,14.77
1514027,Waste,1,17.46,11.64,0,0.0,17.46,0,0.0
1514027,Waste,2,34.92,23.28,1,34.92,0.0,0,0.0
1514027,Waste,3,17.46,11.64,0,0.0,17.46,0,0.0
1514027,Waste,4,34.92,23.28,0,0.0,34.92,0,0.0
1514027,Waste,5,52.38,34.92,0,0.0,52.38,0,0.0
1514027,Waste,6,69.85,46.56,0,0.0,69.85,0,0.0
1515674,Waste,0,187.5,125.0,1,187.5,0.0,1,97.5
1515674,Waste,1,35.14,23.43,0,0.0,35.14,0,0.0
1515674,Waste,2,70.28,46.85,1,70.28,0.0,0,0.0
1515674,Waste,3,35.14,23.43,0,0.0,35.14,0,0.0
1515674,Waste,4,70.28,46.85,0,0.0,70.28,0,0.0
1515674,Waste,5,105.42,70.28,0,0.0,105.42,0,15.42
1515674,Waste,6,140.56,93.71,0,0.0,140.56,0,50.56
1515690,Compostables,0,141.17,94.11,1,141.17,0.0,0,51.17
1515690,Compostables,1,23.53,15.69,0,0.0,23.53,0,0.0
1515690,Compostables,2,47.06,31.37,0,0.0,47.06,0,0.0
1515690,Compostables,3,70.58,47.06,0,0.0,70.58,0,0.0
1515690,Compostables,4,94.11,62.74,1,94.11,0.0,0,4.11
1515690,Compostables,5,23.53,15.69,0,0.0,23.53,0,0.0
1515690,Compostables,6,47.06,31.37,0,0.0,47.06,0,0.0
1515742,Waste,0,181.72,121.15,1,181.72,0.0,1,91.72
1515742,Waste,1,30.29,20.19,0,0.0,30.29,0,0.0
1515742,Waste,2,60.57,40.38,0,0.0,60.57,0,0.0
1515742,Waste,3,90.86,60.57,1,90.86,0.0,0,0.86
1515742,Waste,4,30.29,20.19,0,0.0,30.29,0,0.0
1515742,Waste,5,60.57,40.38,0,0.0,60.57,0,0.0
1515742,Waste,6,90.86,60.57,0,0.0,90.86,0,0.86
1515743,Waste,0,187.5,125.0,1,187.5,0.0,1,97.5
1515743,Waste,1,32.17,21.44,0,0.0,32.17,0,0.0
1515743,Waste,2,64.33,42.89,1,64.33,0.0,0,0.0
1515743,Waste,3,32.17,21.44,0,0.0,32.17,0,0.0
1515743,Waste,4,64.33,42.89,1,64.33,0.0,0,0.0
1515743,Waste,5,32.17,21.44,0,0.0,32.17,0,0.0
1515743,Waste,6,64.33,42.89,0,0.0,64.33,0,0.0
1515784,Compostables,0,150.13,100.09,1,150.13,0.0,1,60.13
1515784,Compostables,1,25.02,16.68,0,0.0,25.02,0,0.0
1515784,Compostables,2,50.04,33.36,0,0.0,50.04,0,0.0
1515784,Compostables,3,75.07,50.04,1,75.07,0.0,0,0.0
1515784,Compostables,4,25.02,16.68,0,0.0,25.02,0,0.0
1515784,Compostables,5,50.04,33.36,0,0.0,50.04,0,0.0
1515784,Compostables,6,75.07,50.04,0,0.0,75.07,0,0.0
1516554,Waste,0,163.71,109.14,1,163.71,0.0,1,73.71
1516554,Waste,1,27.28,18.19,1,27.28,0.0,0,0.0
1516554,Waste,2,27.28,18.19,0,0.0,27.28,0,0.0
1516554,Waste,3,54.57,36.38,0,0.0,54.57,0,0.0
1516554,Waste,4,81.85,54.57,1,81.85,0.0,0,0.0
1516554,Waste,5,27.28,18.19,0,0.0,27.28,0,0.0
1516554,Waste,6,54.57,36.38,0,0.0,54.57,0,0.0
2503769,Waste,0,93.95,62.64,1,93.95,0.0,0,3.95
2503769,Waste,1,15.66,10.44,0,0.0,15.66,0,0.0
