Serial,stream,service_day,truck,inventory_gal_before_service,inventory_pct_before_service,pickup_gal,pickup_lb,interval_deadline
1520925,Compostables,1,T1,19.02,12.68,19.02,22.83,1.0
1520928,Compostables,1,T1,51.98,34.65,51.98,62.38,5.0
2502339,Bottles/Cans,1,T2,109.59,73.06,109.59,32.88,1.0
2503761,Compostables,1,T1,55.95,37.3,55.95,67.14,6.0
2503765,Waste,1,T3,49.15,32.77,49.15,49.15,6.0
2503773,Bottles/Cans,1,T2,23.83,15.89,23.83,7.15,1.0
2503774,Bottles/Cans,1,T2,76.68,51.12,76.68,23.0,1.0
500103011,Bottles/Cans,1,T2,55.07,36.72,55.07,16.52,
1514002,Compostables,2,T2,65.48,43.66,65.48,78.58,4.0
1514010,Compostables,2,T2,58.34,38.89,58.34,70.01,
1514023,Waste,2,T3,61.95,41.3,61.95,61.95,5.0
1514026,Waste,2,T1,84.62,56.42,84.62,84.62,1.0
1514027,Waste,2,T1,34.92,23.28,34.92,34.92,1.0
1514032,Waste,2,T1,73.66,49.1,73.66,73.66,
1515671,Waste,2,T3,59.52,39.68,59.52,59.52,5.0
1515672,Waste,2,T1,91.88,61.26,91.88,91.88,
1515673,Waste,2,T1,85.01,56.67,85.01,85.01,5.0
1515674,Waste,2,T1,70.28,46.85,70.28,70.28,1.0
1515675,Waste,2,T3,64.11,42.74,64.11,64.11,5.0
1515677,Waste,2,T1,66.25,44.16,66.25,66.25,6.0
1515679,Waste,2,T3,87.14,58.09,87.14,87.14,6.0
1515680,Waste,2,T1,55.14,36.76,55.14,55.14,6.0
1515689,Compostables,2,T2,45.63,30.42,45.63,54.76,6.0
1515693,Waste,2,T1,97.81,65.21,97.81,97.81,6.0
1515694,Waste,2,T1,59.48,39.66,59.48,59.48,
1515695,Waste,2,T1,73.12,48.74,73.12,73.12,5.0
1515696,Waste,2,T1,60.88,40.58,60.88,60.88,6.0
1515702,Waste,2,T3,61.54,41.03,61.54,61.54,
1515710,Waste,2,T1,88.25,58.84,88.25,88.25,5.0
1515711,Waste,2,T1,116.66,77.77,116.66,116.66,6.0
1515714,Compostables,2,T2,23.09,15.4,23.09,27.71,5.0
1515715,Compostables,2,T2,109.57,73.05,109.57,131.48,4.0
1515743,Waste,2,T1,64.33,42.89,64.33,64.33,1.0
1515746,Waste,2,T3,51.85,34.56,51.85,51.85,
1515747,Waste,2,T1,58.5,39.0,58.5,58.5,6.0
1515750,Compostables,2,T2,46.29,30.86,46.29,55.55,0.0
1515751,Compostables,2,T2,60.01,40.0,60.01,72.01,4.0
1515753,Compostables,2,T2,59.71,39.81,59.71,71.65,
1515756,Compostables,2,T2,59.95,39.97,59.95,71.94,5.0
1515758,Compostables,2,T2,91.86,61.24,91.86,110.23,6.0
1515759,Compostables,2,T2,59.62,39.74,59.62,71.54,6.0
1515780,Waste,2,T1,89.47,59.65,89.47,89.47,
1515783,Waste,2,T3,96.38,64.25,96.38,96.38,6.0
1515790,Compostables,2,T2,100.23,66.82,100.23,120.28,6.0
1516548,Waste,2,T1,86.31,57.54,86.31,86.31,5.0
1516550,Waste,2,T1,89.95,59.96,89.95,89.95,5.0
1516555,Waste,2,T1,73.25,48.83,73.25,73.25,5.0
1520924,Compostables,2,T2,70.84,47.23,70.84,85.01,2.0
2503762,Compostables,2,T2,51.33,34.22,51.33,61.6,6.0
2503766,Waste,2,T1,92.49,61.66,92.49,92.49,5.0
2503768,Waste,2,T1,78.42,52.28,78.42,78.42,6.0
500103012,Compostables,2,T2,84.75,56.5,84.75,101.7,
1503614,Compostables,3,T3,70.85,47.23,70.85,85.02,0.0
1503623,Waste,3,T2,65.55,43.7,65.55,65.55,4.0
1503628,Waste,3,T2,83.1,55.4,83.1,83.1,5.0
1503632,Waste,3,T2,104.9,69.93,104.9,104.9,6.0
1503639,Bottles/Cans,3,T1,65.57,43.71,65.57,19.67,5.0
1514003,Compostables,3,T3,77.18,51.45,77.18,92.62,0.0
1514005,Compostables,3,T3,103.6,69.06,103.6,124.32,5.0
1514006,Compostables,3,T3,76.7,51.14,76.7,92.05,5.0
1514007,Compostables,3,T3,71.56,47.7,71.56,85.87,
1514010,Compostables,3,T3,58.34,38.89,58.34,70.01,
1514017,Bottles/Cans,3,T1,91.38,60.92,91.38,27.41,6.0
1514022,Waste,3,T2,82.2,54.8,82.2,82.2,4.0
1514028,Waste,3,T2,70.73,47.15,70.73,70.73,
1514029,Waste,3,T2,74.48,49.65,74.48,74.48,
1514031,Waste,3,T2,60.38,40.25,60.38,60.38,4.0
1515666,Waste,3,T2,68.04,45.36,68.04,68.04,4.0
1515667,Waste,3,T2,83.38,55.59,83.38,83.38,6.0
1515669,Waste,3,T2,76.8,51.2,76.8,76.8,4.0
1515670,Waste,3,T2,85.04,56.69,85.04,85.04,4.0
1515678,Waste,3,T2,94.72,63.15,94.72,94.72,6.0
1515681,Waste,3,T2,84.23,56.15,84.23,84.23,6.0
1515685,Compostables,3,T3,77.91,51.94,77.91,93.49,6.0
1515692,Waste,3,T2,93.41,62.27,93.41,93.41,6.0
1515694,Waste,3,T2,59.48,39.66,59.48,59.48,
1515696,Waste,3,T2,60.88,40.58,60.88,60.88,6.0
1515697,Waste,3,T2,89.73,59.82,89.73,89.73,4.0
1515699,Waste,3,T2,85.64,57.1,85.64,85.64,6.0
1515704,Waste,3,T2,73.89,49.26,73.89,73.89,4.0
1515711,Waste,3,T2,58.33,38.89,58.33,58.33,6.0
1515718,Compostables,3,T3,60.49,40.33,60.49,72.59,6.0
1515719,Compostables,3,T3,60.19,40.13,60.19,72.23,6.0
1515721,Bottles/Cans,3,T1,33.02,22.01,33.02,9.91,4.0
1515742,Waste,3,T2,90.86,60.57,90.86,90.86,1.0
1515744,Waste,3,T2,99.36,66.24,99.36,99.36,6.0
1515747,Waste,3,T2,58.5,39.0,58.5,58.5,6.0
1515749,Compostables,3,T3,105.46,70.31,105.46,126.55,
1515753,Compostables,3,T3,59.71,39.81,59.71,71.65,
1515755,Compostables,3,T3,93.46,62.3,93.46,112.15,6.0
1515759,Compostables,3,T3,59.62,39.74,59.62,71.54,6.0
1515770,Bottles/Cans,3,T1,133.85,89.24,133.85,40.16,4.0
1515777,Bottles/Cans,3,T1,102.56,68.37,102.56,30.77,4.0
1515778,Bottles/Cans,3,T1,124.36,82.91,124.36,37.31,4.0
1515784,Compostables,3,T3,75.07,50.04,75.07,90.08,1.0
1515786,Compostables,3,T3,69.92,46.61,69.92,83.91,6.0
1515791,Compostables,3,T3,89.3,59.53,89.3,107.16,6.0
1515818,Compostables,3,T3,95.97,63.98,95.97,115.17,6.0
1516539,Compostables,3,T3,76.05,50.7,76.05,91.26,6.0
1516549,Compostables,3,T3,111.48,74.32,111.48,133.78,
1516551,Waste,3,T2,90.98,60.65,90.98,90.98,6.0
1520915,Waste,3,T2,87.34,58.22,87.34,87.34,2.0
500103011,Bottles/Cans,3,T1,110.15,73.43,110.15,33.04,
1503616,Compostables,4,T3,88.77,59.18,88.77,106.53,5.0
1503624,Waste,4,T2,89.3,59.53,89.3,89.3,6.0
1503625,Waste,4,T2,88.84,59.23,88.84,88.84,6.0
1503633,Waste,4,T2,72.82,48.55,72.82,72.82,6.0
1503637,Compostables,4,T3,73.53,49.02,73.53,88.23,2.0
1503644,Compostables,4,T3,50.2,33.47,50.2,60.25,4.0
1514000,Compostables,4,T3,36.98,24.65,36.98,44.37,4.0
1514010,Compostables,4,T3,58.34,38.89,58.34,70.01,
1514023,Waste,4,T1,61.95,41.3,61.95,61.95,5.0
1514024,Waste,4,T2,84.32,56.21,84.32,84.32,5.0
1514026,Waste,4,T1,84.62,56.42,84.62,84.62,1.0
1514030,Waste,4,T1,80.22,53.48,80.22,80.22,
1514032,Waste,4,T1,73.66,49.1,73.66,73.66,
1515670,Waste,4,T1,28.35,18.9,28.35,28.35,4.0
1515672,Waste,4,T2,91.88,61.26,91.88,91.88,
1515673,Waste,4,T2,85.01,56.67,85.01,85.01,5.0
1515676,Waste,4,T2,69.36,46.24,69.36,69.36,4.0
1515680,Waste,4,T1,110.28,73.52,110.28,110.28,6.0
1515682,Compostables,4,T3,26.25,17.5,26.25,31.5,4.0
1515684,Compostables,4,T3,59.12,39.41,59.12,70.94,4.0
1515690,Compostables,4,T3,94.11,62.74,94.11,112.93,1.0
1515693,Waste,4,T2,97.81,65.21,97.81,97.81,6.0
1515694,Waste,4,T1,59.48,39.66,59.48,59.48,
1515696,Waste,4,T2,60.88,40.58,60.88,60.88,6.0
1515700,Waste,4,T2,71.59,47.73,71.59,71.59,5.0
1515701,Waste,4,T2,78.82,52.55,78.82,78.82,5.0
1515702,Waste,4,T2,61.54,41.03,61.54,61.54,
1515711,Waste,4,T2,58.33,38.89,58.33,58.33,6.0
1515743,Waste,4,T1,64.33,42.89,64.33,64.33,1.0
1515747,Waste,4,T2,58.5,39.0,58.5,58.5,6.0
1515753,Compostables,4,T3,59.71,39.81,59.71,71.65,
1515758,Compostables,4,T3,91.86,61.24,91.86,110.23,6.0
1515759,Compostables,4,T3,59.62,39.74,59.62,71.54,6.0
1515780,Waste,4,T2,89.47,59.65,89.47,89.47,
1515783,Waste,4,T1,64.25,42.84,64.25,64.25,6.0
1516553,Waste,4,T2,60.57,40.38,60.57,60.57,4.0
1516554,Waste,4,T1,81.85,54.57,81.85,81.85,1.0
1516557,Waste,4,T1,72.19,48.13,72.19,72.19,
1520916,Waste,4,T2,70.51,47.01,70.51,70.51,4.0
1520923,Compostables,4,T3,38.25,25.5,38.25,45.9,4.0
2503760,Compostables,4,T3,31.08,20.72,31.08,37.29,4.0
2503761,Compostables,4,T3,83.92,55.95,83.92,100.71,6.0
2503765,Waste,4,T2,73.73,49.15,73.73,73.73,6.0
2503768,Waste,4,T2,78.42,52.28,78.42,78.42,6.0
500103012,Compostables,4,T3,84.75,56.5,84.75,101.7,
1514008,Compostables,5,T2,53.08,35.38,53.08,63.69,5.0
1514010,Compostables,5,T2,58.34,38.89,58.34,70.01,
1514019,Bottles/Cans,5,T1,104.34,69.56,104.34,31.3,5.0
1515667,Waste,5,T3,83.38,55.59,83.38,83.38,6.0
1515679,Waste,5,T3,87.14,58.09,87.14,87.14,6.0
1515686,Compostables,5,T2,89.91,59.94,89.91,107.89,6.0
1515692,Waste,5,T3,93.41,62.27,93.41,93.41,6.0
1515694,Waste,5,T3,59.48,39.66,59.48,59.48,
1515696,Waste,5,T3,60.88,40.58,60.88,60.88,6.0
1515711,Waste,5,T3,58.33,38.89,58.33,58.33,6.0
1515717,Compostables,5,T2,60.85,40.57,60.85,73.02,5.0
1515718,Compostables,5,T2,60.49,40.33,60.49,72.59,6.0
1515724,Bottles/Cans,5,T1,130.57,87.05,130.57,39.17,
1515732,Bottles/Cans,5,T1,103.71,69.14,103.71,31.11,5.0
1515744,Waste,5,T3,99.36,66.24,99.36,99.36,6.0
1515746,Waste,5,T3,77.77,51.85,77.77,77.77,
1515747,Waste,5,T3,58.5,39.0,58.5,58.5,6.0
1515749,Compostables,5,T2,105.46,70.31,105.46,126.55,
1515751,Compostables,5,T2,90.01,60.01,90.01,108.01,4.0
1515752,Compostables,5,T2,72.15,48.1,72.15,86.58,5.0
1515753,Compostables,5,T2,59.71,39.81,59.71,71.65,
1515754,Compostables,5,T2,52.6,35.06,52.6,63.12,5.0
1515755,Compostables,5,T2,93.46,62.3,93.46,112.15,6.0
1515759,Compostables,5,T2,59.62,39.74,59.62,71.54,6.0
1515786,Compostables,5,T2,69.92,46.61,69.92,83.91,6.0
1515789,Compostables,5,T2,69.89,46.59,69.89,83.87,5.0
1515790,Compostables,5,T2,100.23,66.82,100.23,120.28,6.0
1515791,Compostables,5,T2,89.3,59.53,89.3,107.16,6.0
1516537,Compostables,5,T2,75.12,50.08,75.12,90.14,2.0
1516541,Compostables,5,T2,47.75,31.83,47.75,57.3,5.0
1516544,Compostables,5,T2,69.32,46.21,69.32,83.18,5.0
1516545,Compostables,5,T2,60.09,40.06,60.09,72.11,5.0
1516547,Waste,5,T3,70.67,47.11,70.67,70.67,5.0
1520913,Waste,5,T3,115.98,77.32,115.98,115.98,5.0
2503764,Compostables,5,T2,77.99,51.99,77.99,93.59,5.0
2503765,Waste,5,T3,24.58,16.38,24.58,24.58,6.0
500103011,Bottles/Cans,5,T1,110.15,73.43,110.15,33.04,
1515677,Waste,6,T3,88.33,58.89,88.33,88.33,6.0
1515741,Waste,6,T3,57.8,38.53,57.8,57.8,6.0
1515769,Bottles/Cans,6,T2,141.87,94.58,141.87,42.56,6.0
1516542,Compostables,6,T1,51.93,34.62,51.93,62.32,6.0
1520911,Waste,6,T3,27.63,18.42,27.63,27.63,6.0
1520914,Waste,6,T3,37.96,25.31,37.96,37.96,6.0
1520917,Waste,6,T3,85.35,56.9,85.35,85.35,6.0
