from_node,to_node,from_label,to_label,distance_m,travel_min,travel_min_raw
4,8,E14 Physics,Bechtel East,151.94,1.29,0.94
4,9,E14 Physics,001 Berkeley Way (Offsite),1099.94,9.35,6.83
4,10,E14 Physics,W11 Moffitt Library @ Press,328.1,2.79,2.04
4,11,E14 Physics,Bechtel East,151.94,1.29,0.94
4,12,E14 Physics,W13 Recreational Sport Facility (LF),1570.18,13.36,9.76
4,13,E14 Physics,E25 Cronk Gate,568.83,4.83,3.53
4,14,E14 Physics,W02 Crescent,778.96,6.63,4.84
4,15,E14 Physics,E06 Sutardja Dali Hall/Yali's 1,445.12,3.79,2.77
4,16,E14 Physics,E29 Campanile East,209.09,1.78,1.3
4,17,E14 Physics,E16 Campanile,361.41,3.08,2.25
4,18,E14 Physics,U09 MLK Ramp,1638.07,13.94,10.18
4,19,E14 Physics,E13 Stanley Hall,218.22,1.86,1.36
4,20,E14 Physics,U27 Anthony Hall,1590.29,13.53,9.88
4,21,E14 Physics,E15 Bancroft Library,92.49,0.78,0.57
4,22,E14 Physics,U05 Cesar Chavez,1516.06,12.9,9.42
4,23,E14 Physics,U17 Dwinelle Plaza Entry,1494.21,12.7,9.28
4,24,E14 Physics,E02 North Entrance Memorial Glade,228.21,1.94,1.42
4,25,E14 Physics,W12 VLSB/Campanile Way,1399.38,11.91,8.7
4,26,E14 Physics,E02 North Entrance Memorial Glade,228.21,1.94,1.42
4,27,E14 Physics,E05 V&A Cafe/Etcheverry,509.84,4.34,3.17
4,28,E14 Physics,E02 North Entrance Memorial Glade,228.21,1.94,1.42
4,29,E14 Physics,E07 Sutardja Dai Hall/Yali's 2,445.12,3.79,2.77
4,30,E14 Physics,U07 Cal Book Store,1520.27,12.94,9.45
4,31,E14 Physics,E06 Sutardja Dali Hall/Yali's 1,445.12,3.79,2.77
4,32,E14 Physics,E03 University Library,92.49,0.78,0.57
4,33,E14 Physics,U33 Spieker Plaza,1634.45,13.91,10.16
4,34,E14 Physics,W17 Mulford Hall,754.48,6.42,4.69
4,35,E14 Physics,W16 VLSB Northside,433.88,3.7,2.7
4,36,E14 Physics,U28 Wheeler,311.92,2.66,1.94
4,37,E14 Physics,E30 Tan Hall North Side,147.97,1.26,0.92
4,38,E14 Physics,Hearst Gym Annex,1312.91,11.17,8.16
4,39,E14 Physics,U03 Grade Street,1516.06,12.9,9.42
4,40,E14 Physics,U26 A&E Sproul,1769.0,15.04,10.99
4,41,E14 Physics,W06 West Circle,623.72,5.31,3.88
5,0,E14 Physics,DEPOT,209.09,1.78,1.3
5,1,E14 Physics,W08 University Drive,507.94,4.33,3.16
5,2,E14 Physics,E19 South Path Drive,243.43,2.07,1.51
5,3,E14 Physics,W18 Campanile Way West Entrance,1221.99,10.39,7.59
5,4,E14 Physics,E14 Physics,0.0,0.0,0.0
5,5,E14 Physics,E14 Physics,0.0,0.0,0.0
5,6,E14 Physics,U16 Durant Hall,1465.41,12.47,9.11
5,7,E14 Physics,W11 Moffitt Library @ Press,328.1,2.79,2.04
5,8,E14 Physics,Bechtel East,151.94,1.29,0.94
5,9,E14 Physics,001 Berkeley Way (Offsite),1099.94,9.35,6.83
5,10,E14 Physics,W11 Moffitt Library @ Press,328.1,2.79,2.04
5,11,E14 Physics,Bechtel East,151.94,1.29,0.94
5,12,E14 Physics,W13 Recreational Sport Facility (LF),1570.18,13.36,9.76
5,13,E14 Physics,E25 Cronk Gate,568.83,4.83,3.53
5,14,E14 Physics,W02 Crescent,778.96,6.63,4.84
5,15,E14 Physics,E06 Sutardja Dali Hall/Yali's 1,445.12,3.79,2.77
5,16,E14 Physics,E29 Campanile East,209.09,1.78,1.3
5,17,E14 Physics,E16 Campanile,361.41,3.08,2.25
5,18,E14 Physics,U09 MLK Ramp,1638.07,13.94,10.18
5,19,E14 Physics,E13 Stanley Hall,218.22,1.86,1.36
5,20,E14 Physics,U27 Anthony Hall,1590.29,13.53,9.88
5,21,E14 Physics,E15 Bancroft Library,92.49,0.78,0.57
5,22,E14 Physics,U05 Cesar Chavez,1516.06,12.9,9.42
5,23,E14 Physics,U17 Dwinelle Plaza Entry,1494.21,12.7,9.28
5,24,E14 Physics,E02 North Entrance Memorial Glade,228.21,1.94,1.42
5,25,E14 Physics,W12 VLSB/Campanile Way,1399.38,11.91,8.7
5,26,E14 Physics,E02 North Entrance Memorial Glade,228.21,1.94,1.42
5,27,E14 Physics,E05 V&A Cafe/Etcheverry,509.84,4.34,3.17
5,28,E14 Physics,E02 North Entrance Memorial Glade,228.21,1.94,1.42
5,29,E14 Physics,E07 Sutardja Dai Hall/Yali's 2,445.12,3.79,2.77
5,30,E14 Physics,U07 Cal Book Store,1520.27,12.94,9.45
5,31,E14 Physics,E06 Sutardja Dali Hall/Yali's 1,445.12,3.79,2.77
5,32,E14 Physics,E03 University Library,92.49,0.78,0.57
5,33,E14 Physics,U33 Spieker Plaza,1634.45,13.91,10.16
5,34,E14 Physics,W17 Mulford Hall,754.48,6.42,4.69
5,35,E14 Physics,W16 VLSB Northside,433.88,3.7,2.7
5,36,E14 Physics,U28 Wheeler,311.92,2.66,1.94
5,37,E14 Physics,E30 Tan Hall North Side,147.97,1.26,0.92
5,38,E14 Physics,Hearst Gym Annex,1312.91,11.17,8.16
5,39,E14 Physics,U03 Grade Street,1516.06,12.9,9.42
5,40,E14 Physics,U26 A&E Sproul,1769.0,15.04,10.99
5,41,E14 Physics,W06 West Circle,623.72,5.31,3.88
6,0,U16 Durant Hall,DEPOT,1489.52,12.68,9.26
6,1,U16 Durant Hall,W08 University Drive,957.47,8.15,5.95
6,2,U16 Durant Hall,E19 South Path Drive,1666.79,14.18,10.36
6,3,U16 Durant Hall,W18 Campanile Way West Entrance,243.42,2.07,1.51
6,4,U16 Durant Hall,E14 Physics,1465.41,12.47,9.11
6,5,U16 Durant Hall,E14 Physics,1465.41,12.47,9.11
6,6,U16 Durant Hall,U16 Durant Hall,0.0,0.0,0.0
6,7,U16 Durant Hall,W11 Moffitt Library @ Press,1137.31,9.68,7.07
6,8,U16 Durant Hall,Bechtel East,1575.3,13.4,9.79
6,9,U16 Durant Hall,001 Berkeley Way (Offsite),1024.22,8.71,6.36
6,10,U16 Durant Hall,W11 Moffitt Library @ Press,1137.31,9.68,7.07
6,11,U16 Durant Hall,Bechtel East,1575.3,13.4,9.79
6,12,U16 Durant Hall,W13 Recreational Sport Facility (LF),1044.33,8.88,6.49
6,13,U16 Durant Hall,E25 Cronk Gate,1992.18,16.95,12.38
6,14,U16 Durant Hall,W02 Crescent,701.34,5.97,4.36
6,15,U16 Durant Hall,E06 Sutardja Dali Hall/Yali's 1,1454.11,12.38,9.04
6,16,U16 Durant Hall,E29 Campanile East,1489.52,12.68,9.26
6,17,U16 Durant Hall,E16 Campanile,1648.23,14.02,10.24
6,18,U16 Durant Hall,U09 MLK Ramp,1222.51,10.4,7.6
6,19,U16 Durant Hall,E13 Stanley Hall,1641.57,13.96,10.2
6,20,U16 Durant Hall,U27 Anthony Hall,1626.74,13.84,10.11
6,21,U16 Durant Hall,E15 Bancroft Library,1372.92,11.68,8.53
6,22,U16 Durant Hall,U05 Cesar Chavez,50.65,0.42,0.31
6,23,U16 Durant Hall,U17 Dwinelle Plaza Entry,28.8,0.25,0.18
6,24,U16 Durant Hall,E02 North Entrance Memorial Glade,1237.2,10.53,7.69
6,25,U16 Durant Hall,W12 VLSB/Campanile Way,79.57,0.67,0.49
6,26,U16 Durant Hall,E02 North Entrance Memorial Glade,1237.2,10.53,7.69
6,27,U16 Durant Hall,E05 V&A Cafe/Etcheverry,1433.2,12.2,8.91
6,28,U16 Durant Hall,E02 North Entrance Memorial Glade,1237.2,10.53,7.69
6,29,U16 Durant Hall,E07 Sutardja Dai Hall/Yali's 2,1454.11,12.38,9.04
6,30,U16 Durant Hall,U07 Cal Book Store,1231.49,10.47,7.65
6,31,U16 Durant Hall,E06 Sutardja Dali Hall/Yali's 1,1454.11,12.38,9.04
6,32,U16 Durant Hall,E03 University Library,1372.92,11.68,8.53
6,33,U16 Durant Hall,U33 Spieker Plaza,1117.31,9.5,6.94
6,34,U16 Durant Hall,W17 Mulford Hall,947.93,8.06,5.89
6,35,U16 Durant Hall,W16 VLSB Northside,1031.53,8.78,6.41
6,36,U16 Durant Hall,U28 Wheeler,1592.35,13.54,9.89
6,37,U16 Durant Hall,E30 Tan Hall North Side,1571.33,13.36,9.76
6,38,U16 Durant Hall,Hearst Gym Annex,1438.85,12.24,8.94
6,39,U16 Durant Hall,U03 Grade Street,50.65,0.42,0.31
6,40,U16 Durant Hall,U26 A&E Sproul,1805.44,15.36,11.22
6,41,U16 Durant Hall,W06 West Circle,841.69,7.16,5.23
7,0,W11 Moffitt Library @ Press,DEPOT,352.21,3.0,2.19
7,1,W11 Moffitt Library @ Press,W08 University Drive,179.84,1.53,1.12
7,2,W11 Moffitt Library @ Press,E19 South Path Drive,529.48,4.5,3.29
7,3,W11 Moffitt Library @ Press,W18 Campanile Way West Entrance,893.89,7.6,5.55
7,4,W11 Moffitt Library @ Press,E14 Physics,328.1,2.79,2.04
7,5,W11 Moffitt Library @ Press,E14 Physics,328.1,2.79,2.04
7,6,W11 Moffitt Library @ Press,U16 Durant Hall,1137.31,9.68,7.07
7,7,W11 Moffitt Library @ Press,W11 Moffitt Library @ Press,0.0,0.0,0.0
7,8,W11 Moffitt Library @ Press,Bechtel East,437.99,3.72,2.72
7,9,W11 Moffitt Library @ Press,001 Berkeley Way (Offsite),823.87,7.01,5.12
7,10,W11 Moffitt Library @ Press,W11 Moffitt Library @ Press,0.0,0.0,0.0
7,11,W11 Moffitt Library @ Press,Bechtel East,437.99,3.72,2.72
7,12,W11 Moffitt Library @ Press,W13 Recreational Sport Facility (LF),1242.09,10.57,7.72
7,13,W11 Moffitt Library @ Press,E25 Cronk Gate,854.87,7.27,5.31
7,14,W11 Moffitt Library @ Press,W02 Crescent,450.87,3.83,2.8
7,15,W11 Moffitt Library @ Press,E06 Sutardja Dali Hall/Yali's 1,316.8,2.7,1.97
7,16,W11 Moffitt Library @ Press,E29 Campanile East,352.21,3.0,2.19
7,17,W11 Moffitt Library @ Press,E16 Campanile,510.92,4.34,3.17
7,18,W11 Moffitt Library @ Press,U09 MLK Ramp,1420.27,12.09,8.83
7,19,W11 Moffitt Library @ Press,E13 Stanley Hall,504.26,4.28,3.13
7,20,W11 Moffitt Library @ Press,U27 Anthony Hall,1824.49,15.52,11.34
7,21,W11 Moffitt Library @ Press,E15 Bancroft Library,235.61,2.0,1.46
7,22,W11 Moffitt Library @ Press,U05 Cesar Chavez,1187.96,10.1,7.38
7,23,W11 Moffitt Library @ Press,U17 Dwinelle Plaza Entry,1166.11,9.93,7.25
7,24,W11 Moffitt Library @ Press,E02 North Entrance Memorial Glade,99.89,0.85,0.62
7,25,W11 Moffitt Library @ Press,W12 VLSB/Campanile Way,1071.28,9.12,6.66
7,26,W11 Moffitt Library @ Press,E02 North Entrance Memorial Glade,99.89,0.85,0.62
7,27,W11 Moffitt Library @ Press,E05 V&A Cafe/Etcheverry,355.01,3.03,2.21
7,28,W11 Moffitt Library @ Press,E02 North Entrance Memorial Glade,99.89,0.85,0.62
7,29,W11 Moffitt Library @ Press,E07 Sutardja Dai Hall/Yali's 2,316.8,2.7,1.97
7,30,W11 Moffitt Library @ Press,U07 Cal Book Store,1429.24,12.16,8.88
7,31,W11 Moffitt Library @ Press,E06 Sutardja Dali Hall/Yali's 1,316.8,2.7,1.97
7,32,W11 Moffitt Library @ Press,E03 University Library,235.61,2.0,1.46
7,33,W11 Moffitt Library @ Press,U33 Spieker Plaza,1315.06,11.18,8.17
7,34,W11 Moffitt Library @ Press,W17 Mulford Hall,426.38,3.63,2.65
7,35,W11 Moffitt Library @ Press,W16 VLSB Northside,105.78,0.9,0.66
7,36,W11 Moffitt Library @ Press,U28 Wheeler,455.04,3.87,2.83
7,37,W11 Moffitt Library @ Press,E30 Tan Hall North Side,434.02,3.7,2.7
7,38,W11 Moffitt Library @ Press,Hearst Gym Annex,1598.96,13.61,9.94
7,39,W11 Moffitt Library @ Press,U03 Grade Street,1187.96,10.1,7.38
7,40,W11 Moffitt Library @ Press,U26 A&E Sproul,2003.2,17.04,12.45
7,41,W11 Moffitt Library @ Press,W06 West Circle,295.62,2.52,1.84
8,0,Bechtel East,DEPOT,318.98,2.71,1.98
8,1,Bechtel East,W08 University Drive,617.83,5.26,3.84
8,2,Bechtel East,E19 South Path Drive,229.87,1.96,1.43
8,3,Bechtel East,W18 Campanile Way West Entrance,1331.87,11.34,8.28
8,4,Bechtel East,E14 Physics,151.94,1.29,0.94
8,5,Bechtel East,E14 Physics,151.94,1.29,0.94
8,6,Bechtel East,U16 Durant Hall,1575.3,13.4,9.79
8,7,Bechtel East,W11 Moffitt Library @ Press,437.99,3.72,2.72
8,8,Bechtel East,Bechtel East,0.0,0.0,0.0
8,9,Bechtel East,001 Berkeley Way (Offsite),1209.83,10.29,7.52
8,10,Bechtel East,W11 Moffitt Library @ Press,437.99,3.72,2.72
8,11,Bechtel East,Bechtel East,0.0,0.0,0.0
8,12,Bechtel East,W13 Recreational Sport Facility (LF),1673.37,14.24,10.4
8,13,Bechtel East,E25 Cronk Gate,534.77,4.54,3.32
8,14,Bechtel East,W02 Crescent,888.85,7.56,5.52
8,15,Bechtel East,E06 Sutardja Dali Hall/Yali's 1,555.01,4.72,3.45
8,16,Bechtel East,E29 Campanile East,318.98,2.71,1.98
8,17,Bechtel East,E16 Campanile,347.85,2.96,2.16
8,18,Bechtel East,U09 MLK Ramp,1604.01,13.65,9.97
8,19,Bechtel East,E13 Stanley Hall,67.45,0.57,0.42
8,20,Bechtel East,U27 Anthony Hall,1556.23,13.24,9.67
8,21,Bechtel East,E15 Bancroft Library,202.38,1.72,1.26
8,22,Bechtel East,U05 Cesar Chavez,1625.94,13.83,10.1
8,23,Bechtel East,U17 Dwinelle Plaza Entry,1604.1,13.65,9.97
8,24,Bechtel East,E02 North Entrance Memorial Glade,338.1,2.87,2.1
8,25,Bechtel East,W12 VLSB/Campanile Way,1509.27,12.84,9.38
8,26,Bechtel East,E02 North Entrance Memorial Glade,338.1,2.87,2.1
8,27,Bechtel East,E05 V&A Cafe/Etcheverry,619.73,5.27,3.85
8,28,Bechtel East,E02 North Entrance Memorial Glade,338.1,2.87,2.1
