Serial,Description,stream,threshold_pct,threshold_pct_raw,density_lb_per_gal,days_since_last_service,days_since_last_service_raw,daily_fill_growth_pct,current_fill_pct_est,bin_capacity_gal,avg_service_min,avg_travel_proxy_min,avg_travel_proxy_min_phase1,Stop_ID,service_walk_min,Lat,Lng,Access_Lat,Access_Lng,fill_day_0,fill_day_1,fill_day_2,fill_day_3,fill_day_4,fill_day_5,fill_day_6,pickup_gal_day_0,pickup_gal_day_1,pickup_gal_day_2,pickup_gal_day_3,pickup_gal_day_4,pickup_gal_day_5,pickup_gal_day_6,pickup_lb_day_0,pickup_lb_day_1,pickup_lb_day_2,pickup_lb_day_3,pickup_lb_day_4,pickup_lb_day_5,pickup_lb_day_6,bin_over_safe_lb_day_0,bin_over_safe_lb_day_1,bin_over_safe_lb_day_2,bin_over_safe_lb_day_3,bin_over_safe_lb_day_4,bin_over_safe_lb_day_5,bin_over_safe_lb_day_6,bin_over_hard_lb_day_0,bin_over_hard_lb_day_1,bin_over_hard_lb_day_2,bin_over_hard_lb_day_3,bin_over_hard_lb_day_4,bin_over_hard_lb_day_5,bin_over_hard_lb_day_6,deadline_threshold,deadline_interval,service_deadline,initial_deadline_threshold_no_service,initial_deadline_interval_no_service,initial_service_deadline_no_service,must_service_within_horizon,anchor_date,horizon_day_0,fill_gal,growth_gal_per_day,rolling_day,fill_pct_start
1514027,Bechtel East,Waste,60.0,60,1.0,6.0,6.0,11.6410670978173,69.8464025869038,150.0,4.0,10.0,10.0,1514027,0.0,37.87392909537397,-122.257781243598,37.87392909537397,-122.257781243598,69.8464025869038,81.4874696847211,93.1285367825384,104.7696038803557,116.41067097817302,125.0,125.0,104.76960388035572,122.23120452708166,139.6928051738076,157.15440582053355,174.61600646725955,187.5,187.5,104.76960388035572,122.23120452708166,139.6928051738076,157.15440582053355,174.61600646725955,187.5,187.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,True,2026-02-20,2026-02-20,104.76960388035572,17.46160064672595,1,69.8464025869038
1514031,W13 Recreational Sport Facility (LF),Waste,60.0,60,1.0,3.0,3.0,20.12578616352201,60.37735849056604,150.0,4.0,10.0,10.0,1514031,0.0,37.8685232992564,-122.2623679692983,37.8685232992564,-122.2623679692983,60.37735849056604,80.50314465408805,100.62893081761007,120.75471698113208,125.0,125.0,125.0,90.56603773584906,120.75471698113208,150.9433962264151,181.13207547169813,187.5,187.5,187.5,90.56603773584906,120.75471698113208,150.9433962264151,181.13207547169813,187.5,187.5,187.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,4.0,0.0,0.0,4.0,0.0,True,2026-02-20,2026-02-20,90.56603773584906,30.18867924528302,1,60.37735849056604
1515674,W02 Crescent,Waste,60.0,60,1.0,6.0,6.0,23.42733188720174,125.0,150.0,4.0,10.0,10.0,1515674,0.0,37.87181499856153,-122.2651921789594,37.87181499856153,-122.2651921789594,125.0,125.0,125.0,125.0,125.0,125.0,125.0,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,187.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,True,2026-02-20,2026-02-20,187.5,35.140997830802604,1,125.0
1515690,W02 Crescent,Compostables,60.0,60,1.2,6.0,6.0,15.685218902696281,94.1113134161777,150.0,4.0,10.0,10.0,1515690,0.0,37.87181499856153,-122.2651921789594,37.87181499856153,-122.2651921789594,94.1113134161777,109.79653231887397,125.0,125.0,125.0,125.0,125.0,141.16697012426653,164.69479847831096,187.5,187.5,187.5,187.5,187.5,169.40036414911984,197.63375817397315,225.0,225.0,225.0,225.0,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,1.0,0.0,0.0,1.0,0.0,True,2026-02-20,2026-02-20,141.16697012426653,23.527828354044424,1,94.11131341617768
1515716,E16 Campanile,Compostables,60.0,60,1.2,7.0,7.0,9.72206593901204,68.05446157308428,150.0,4.0,10.0,10.0,1515716,0.0,37.87225129479221,-122.2578240931034,37.87225129479221,-122.2578240931034,68.05446157308428,77.77652751209632,87.49859345110836,97.2206593901204,106.94272532913244,116.66479126814448,125.0,102.08169235962643,116.66479126814448,131.24789017666254,145.83098908518062,160.41408799369867,174.9971869022167,187.5,122.49803083155172,139.9977495217734,157.49746821199503,174.99718690221673,192.4969055924384,209.99662428266004,225.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,True,2026-02-20,2026-02-20,102.08169235962643,14.58309890851806,1,68.05446157308428
1515722,U09 MLK Ramp,Bottles/Cans,,60,0.3,7.0,7.0,10.132817310229571,70.929721171607,150.0,4.0,10.0,10.0,1515722,0.0,37.86935320236131,-122.26002149283886,37.86935320236131,-122.26002149283886,70.929721171607,81.06253848183657,91.19535579206614,101.32817310229572,111.46099041252529,121.59380772275486,125.0,106.3945817574105,121.59380772275485,136.7930336880992,151.99225965344357,167.1914856187879,182.3907115841323,187.5,31.91837452722315,36.47814231682645,41.037910106429756,45.59767789603307,50.15744568563637,54.71721347523969,56.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,106.3945817574105,15.199225965344356,1,70.929721171607
1515723,E13 Stanley Hall,Bottles/Cans,,60,0.3,10.0,21.0,3.656910672338264,36.56910672338264,150.0,4.0,10.0,10.0,1515723,0.0,37.87386120866613,-122.25652791559698,37.87386120866613,-122.25652791559698,36.56910672338264,40.2260173957209,43.882928068059165,47.53983874039743,51.1967494127357,54.853660085073955,58.510570757412225,54.85366008507396,60.33902609358135,65.82439210208875,71.30975811059614,76.79512411910355,82.28049012761093,87.76585613611834,16.456098025522188,18.101707828074407,19.747317630626625,21.39292743317884,23.038537235731063,24.684147038283278,26.329756840835504,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,54.85366008507396,5.4853660085073965,1,36.56910672338264
1515725,U27 Anthony Hall,Bottles/Cans,,60,0.3,10.0,10.0,4.052057685543439,40.52057685543439,150.0,4.0,10.0,10.0,1515725,0.0,37.87054315438076,-122.258243188262,37.87054315438076,-122.258243188262,40.52057685543439,44.57263454097783,48.62469222652127,52.67674991206471,56.72880759760815,60.780865283151584,64.83292296869503,60.78086528315159,66.85895181146675,72.9370383397819,79.01512486809706,85.09321139641223,91.17129792472737,97.24938445304255,18.234259584945477,20.057685543440027,21.881111501934573,23.70453746042912,25.52796341892367,27.35138937741821,29.174815335912765,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,60.78086528315159,6.0780865283151595,1,40.52057685543439
1515726,E15 Bancroft Library,Bottles/Cans,,60,0.3,10.0,14.0,4.480630607270653,44.80630607270653,150.0,4.0,10.0,10.0,1515726,0.0,37.87239130020655,-122.25857980549335,37.87239130020655,-122.25857980549335,44.80630607270653,49.28693667997719,53.76756728724784,58.24819789451849,62.728828501789145,67.2094591090598,71.69008971633045,67.2094591090598,73.93040501996579,80.65135093087177,87.37229684177774,94.09324275268371,100.81418866358969,107.53513457449567,20.162837732717936,22.179121505989738,24.195405279261532,26.21168905253332,28.22797282580511,30.244256599076905,32.2605403723487,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,67.2094591090598,6.7209459109059795,1,44.806306072706526
1515738,U05 Cesar Chavez,Bottles/Cans,,60,0.3,7.0,7.0,2.4003007419356903,16.80210519354983,150.0,4.0,10.0,10.0,1515738,0.0,37.86956229229744,-122.26034469902515,37.86956229229744,-122.26034469902515,16.80210519354983,19.202405935485523,21.60270667742121,24.0030074193569,26.403308161292593,28.803608903228284,31.203909645163975,25.20315779032475,28.803608903228284,32.404060016131815,36.00451112903536,39.604962241938885,43.20541335484242,46.80586446774596,7.560947337097424,8.641082670968485,9.721218004839544,10.801353338710607,11.881488672581666,12.961624006452725,14.041759340323788,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,0.0,0.0,,0.0,0.0,True,2026-02-20,2026-02-20,25.20315779032475,3.6004511129035355,1,16.80210519354983
