day,stream,truck,routing_mode,stop_order,local_node,Stop_ID,Serials_at_stop,label,is_depot,pickup_gal,pickup_lb,service_min,rolling_day
0,Compostables,T1,VRP,9,23,1516537.0,1516537.0,U30 Birge Path,0,45,54,4,5
0,Compostables,T1,VRP,10,11,1515714.0,1515714.0,"U24 Rice & Bones, Wurster",0,69,83,4,5
0,Compostables,T1,VRP,11,3,1514000.0,1514000.0,Chiet Hall 2,0,37,44,4,5
0,Compostables,T1,VRP,12,5,1514007.0,1514007.0,E21 Cafe Think,0,48,57,4,5
0,Compostables,T1,VRP,13,28,2503762.0,2503762.0,E18 Latimer Courtyard,0,86,103,4,5
0,Compostables,T1,VRP,14,2,1503644.0,1503644.0,E17 Tan/Campbell,0,50,60,4,5
0,Compostables,T1,VRP,15,7,1515684.0,1515684.0,E13 Stanley Hall,0,59,71,4,5
0,Compostables,T1,VRP,16,6,1515682.0,1515682.0,E08 Cory Hall,0,26,32,4,5
0,Compostables,T1,VRP,17,26,1520923.0,1520923.0,E30 Soda Hall NW,0,38,46,4,5
0,Compostables,T1,VRP,18,9,1515686.0,1515686.0,E05 V&A Cafe/Etcheverry,0,75,90,4,5
0,Compostables,T1,VRP,19,15,1515756.0,1515756.0,E06 Sutardja Dali Hall/Yali's 1,0,90,108,4,5
0,Compostables,T1,VRP,20,12,1515750.0,1515750.0,E02 North Entrance Memorial Glade,0,69,83,4,5
0,Compostables,T1,VRP,21,13,1515752.0,1515752.0,E29 Campanile East,0,62,74,4,5
0,Compostables,T1,VRP,22,19,1515789.0,1515789.0,E15 Bancroft Library,0,60,72,4,5
0,Compostables,T1,VRP,23,4,1514003.0,1514003.0,W11 Moffitt Library @ Press,0,77,93,4,5
0,Compostables,T1,VRP,24,1,1503614.0,1503614.0,W08 University Drive,0,71,85,4,5
0,Compostables,T1,VRP,25,25,1516549.0,1516549.0,W17 Mulford Hall,0,37,45,4,5
0,Compostables,T1,VRP,26,27,2503761.0,2503761.0,W06 West Circle,0,56,67,4,5
0,Compostables,T1,VRP,27,10,1515690.0,1515690.0,W02 Crescent,0,71,85,4,5
0,Compostables,T1,VRP,28,16,1515758.0,1515758.0,U17 Dwinelle Plaza Entry,0,92,110,4,5
0,Compostables,T1,VRP,29,21,1515791.0,1515791.0,U05 Cesar Chavez,0,89,107,4,5
0,Compostables,T1,VRP,30,0,,,DEPOT,1,0,0,0,5
0,Waste,T2,VRP,1,0,,,DEPOT,1,0,0,0,5
0,Waste,T2,VRP,2,21,1515747.0,1515747.0,U17 Dwinelle Plaza Entry,0,58,58,4,5
0,Waste,T2,VRP,3,3,1514030.0,1514030.0,U16 Durant Hall,0,80,80,4,5
0,Waste,T2,VRP,4,22,1515783.0,1515783.0,U05 Cesar Chavez,0,64,64,4,5
0,Waste,T2,VRP,5,8,1515670.0,1515670.0,W01 Lower Crescent,0,85,85,4,5
0,Waste,T2,VRP,6,5,1514032.0,1514032.0,W05 Brown’s Cafe,0,74,74,4,5
0,Waste,T2,VRP,7,28,2503768.0,2503768.0,W06 West Circle,0,78,78,4,5
